MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.1	何方道友前来，可否助本尊斩断心之魔相？
MOD1.TUNING.XD_FB_FTJ_STR.6.9	出现金凤时会额外召唤金凤的身外化身进行一次攻击
MOD1.TUNING.XD_FB_FTJ_STR.2.7	烈焰的范围增加60%
MOD1.TUNING.XD_FB_FTJ_STR.2.1	烈焰的范围增加10%
MOD1.TUNING.XD_FB_FTJ_STR.2.2	烈焰的范围增加10%
MOD1.TUNING.XD_FB_FTJ_STR.2.4	烈焰的范围增加20%
MOD1.TUNING.XD_FB_FTJ_STR.2.8	烈焰的范围增加80%
MOD1.TUNING.XD_FB_FTJ_STR.2.9	烈焰的范围增加100%
MOD1.TUNING.XD_FB_FTJ_STR.2.5	烈焰的范围增加30%
MOD1.TUNING.XD_FB_FTJ_STR.2.3	烈焰的范围增加10%
MOD1.TUNING.XD_FB_FTJ_STR.2.6	烈焰的范围增加40%
MOD1.TUNING.XD_FB_FTJ_STR.3.7	岩浆虫将成为金凤神念唤出火精的祭品
MOD1.TUNING.XD_FB_FTJ_STR.3.1	召唤两只岩浆虫辅助修士攻击
MOD1.TUNING.XD_FB_FTJ_STR.3.2	召唤两只岩浆虫辅助修士攻击
MOD1.TUNING.XD_FB_FTJ_STR.3.4	岩浆虫的攻击伤害增加至176.4点，燃烧伤害增加至81.5点
MOD1.TUNING.XD_FB_FTJ_STR.3.8	岩浆虫将成为金凤神念唤出火精的祭品
MOD1.TUNING.XD_FB_FTJ_STR.3.9	岩浆虫将成为金凤神念唤出火精的祭品
MOD1.TUNING.XD_FB_FTJ_STR.3.5	岩浆虫的攻击伤害增加至233.9点，燃烧伤害增加至117点
MOD1.TUNING.XD_FB_FTJ_STR.3.3	召唤两只岩浆虫辅助修士攻击
MOD1.TUNING.XD_FB_FTJ_STR.3.6	岩浆虫的攻击伤害增加至267.4点，燃烧伤害增加至133.7点
MOD1.TUNING.XD_FB_FTJ_STR.1.7	攻击产生烈焰的伤害增加152点
MOD1.TUNING.XD_FB_FTJ_STR.1.1	攻击产生烈焰的伤害增加50点
MOD1.TUNING.XD_FB_FTJ_STR.1.2	攻击产生烈焰的伤害增加50点
MOD1.TUNING.XD_FB_FTJ_STR.1.4	攻击产生烈焰的伤害增加76点
MOD1.TUNING.XD_FB_FTJ_STR.1.8	攻击产生烈焰的伤害增加125.8点
MOD1.TUNING.XD_FB_FTJ_STR.1.9	攻击产生烈焰的伤害增加222.5点
MOD1.TUNING.XD_FB_FTJ_STR.1.5	攻击产生烈焰的伤害增加100点
MOD1.TUNING.XD_FB_FTJ_STR.1.3	攻击产生烈焰的伤害增加50点
MOD1.TUNING.XD_FB_FTJ_STR.1.6	攻击产生烈焰的伤害增加120点
MOD1.TUNING.XD_FB_FTJ_STR.4.6	额外唤出的金凤神念在降落后会进行一次冲刺攻击
MOD1.TUNING.XD_FB_FTJ_STR.4.7	额外唤出的金凤神念在降落后会进行一次冲刺攻击，伤害提升
MOD1.TUNING.XD_FB_FTJ_STR.4.8	额外唤出的金凤神念在降落后会进行一次冲刺攻击，伤害再次提升
MOD1.TUNING.XD_FB_FTJ_STR.4.5	额外唤出金凤神念对目标进行攻击
MOD1.TUNING.XD_FB_FTJ_STR.4.9	额外唤出的金凤神念在降落后会进行一次冲刺攻击，伤害再次提升
MOD1.TUNING.XD_FB_FTJ_STR.5.8	额外唤出金凤神念的同时会有火精出现协助攻击，火焰伤害增加至406.7点
MOD1.TUNING.XD_FB_FTJ_STR.5.7	额外唤出金凤神念的同时会有火精出现协助攻击
MOD1.TUNING.XD_FB_FTJ_STR.5.9	献祭火精从而使金凤的降临更加彻底
MOD1.TUNING.XD_GUAIWUQINGXIANG.1.1	微弱
MOD1.TUNING.XD_GUAIWUQINGXIANG.2.1	普通
MOD1.TUNING.XD_GUAIWUQINGXIANG.3.1	强烈
MOD1.TUNING.XD_GUAIWUQINGXIANG.4.1	极致
MOD1.TUNING.XD_GUAIWUBENYUAN.1.1	土
MOD1.TUNING.XD_GUAIWUBENYUAN.2.1	木
MOD1.TUNING.XD_GUAIWUBENYUAN.3.1	水
MOD1.TUNING.XD_GUAIWUBENYUAN.4.1	火
MOD1.TUNING.XD_GUAIWUBENYUAN.5.1	金
MOD1.TUNING.XD_GUAIWUBENYUAN.6.1	混元
MOD1.TUNING.XD_GUAIWUBENYUAN.7.1	无极
MOD1.TUNING.XD_GUAIWUSHENGTI.1.1	<妖祖转世身>
MOD1.TUNING.XD_GUAIWUSHENGTI.2.1	<先天道体>
MOD1.TUNING.XD_GUAIWUSHENGTI.3.1	<荒古圣体>
MOD1.TUNING.XD_GUAIWUSHENGTI.4.1	<炽阳圣体
MOD1.TUNING.XD_GUAIWUSHENGTI.5.1	<邪阴魔体>
