path	original	line	comment
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDERS	应无此易。	64	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDING_SPOTS	周遭无多藏身之处。	65	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_ONE_GAME_PER_DAY	今日至此为止。	66	暂无注释
ACTIONFAIL.ACTIVATE.MANNEQUIN_EQUIPSWAPFAILED	其应穿不上。	67	暂无注释
ACTIONFAIL.ACTIVATE.PILLOWFIGHT_NO_HANDPILLOW	吾需一战。	68	暂无注释
ACTIONFAIL.OPEN_CRAFTING.PROFESSIONALCHEF	当精进吾之庖厨之术。	72	暂无注释
ACTIONFAIL.OPEN_CRAFTING.SHADOWMAGIC	此不可行。	73	暂无注释
ACTIONFAIL.COOK.GENERIC	此刻不能。	77	做饭失败
ACTIONFAIL.COOK.INUSE	需稍待片刻。	78	做饭失败-别人在用锅
ACTIONFAIL.COOK.TOOFAR	过远。	79	做饭失败-太远
ACTIONFAIL.START_CARRAT_RACE.NO_RACERS	吾有所遗漏。	83	暂无注释
ACTIONFAIL.DISMANTLE.COOKING	正烹煮，不可动。	87	暂无注释
ACTIONFAIL.DISMANTLE.INUSE	当轮到吾了。	88	暂无注释
ACTIONFAIL.DISMANTLE.NOTEMPTY	需先移出其中之物。	89	暂无注释
ACTIONFAIL.FISH_OCEAN.TOODEEP	非深海钓竿，不宜深海垂钓。	93	暂无注释
ACTIONFAIL.OCEAN_FISHING_POND.WRONGGEAR	此竿不宜池塘垂钓。	97	暂无注释
ACTIONFAIL.GIVE.GENERIC	且收下。	117	给予失败
ACTIONFAIL.GIVE.DEAD	吾先留着。	118	给予 -目标死亡
ACTIONFAIL.GIVE.SLEEPING	莫扰其清梦。	119	给予--目标睡觉
ACTIONFAIL.GIVE.BUSY	再试一次。	120	给予--目标正忙
ACTIONFAIL.GIVE.ABIGAILHEART	吾或无力助之。	121	给阿比盖尔 救赎之心
ACTIONFAIL.GIVE.GHOSTHEART	或可另寻他法。	122	给鬼魂 救赎之心
ACTIONFAIL.GIVE.NOTGEM	吾不通此道。	123	给的不是宝石
ACTIONFAIL.GIVE.WRONGGEM	此宝石于此无效。	124	给错了宝石
ACTIONFAIL.GIVE.NOTSTAFF	其形不类。	125	给月石祭坛的物品不是法杖
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSSHROOM	一株蘑菇或更有用。	126	蘑菇农场需要蘑菇
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSLOG	一段活木或更有用。	127	蘑菇农场需要活木
ACTIONFAIL.GIVE.MUSHROOMFARM_NOMOONALLOWED	此菇似不能种。	128	暂无注释
ACTIONFAIL.GIVE.SLOTFULL	需再放一物。	129	已经放了材料后，再给雕像桌子再给一个材料
ACTIONFAIL.GIVE.FOODFULL	此处已有一餐。	130	没调用
ACTIONFAIL.GIVE.NOTDISH	其必不食之。	131	没调用
ACTIONFAIL.GIVE.DUPLICATE	吾已尽知。	132	给雕像桌子已经学习过的图纸
ACTIONFAIL.GIVE.NOTSCULPTABLE	不可化其为像。	133	给陶艺圆盘的东西不对
ACTIONFAIL.GIVE.NOTATRIUMKEY	其形不类。	134	中庭钥匙不对
ACTIONFAIL.GIVE.CANTSHADOWREVIVE	其不复活。	135	中庭仍在CD
ACTIONFAIL.GIVE.WRONGSHADOWFORM	组装有误。	136	没调用
ACTIONFAIL.GIVE.NOMOON	需见月华。	137	洞穴里建造月石科技
ACTIONFAIL.GIVE.PIGKINGGAME_MESSY	需先清理。	138	猪王旁边有建筑，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_DANGER	此刻凶险。	139	危险，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_TOOLATE	为时已晚。	140	不是白天，不能开始抢元宝
ACTIONFAIL.GIVE.CARNIVALGAME_INVALID_ITEM	需购代币。	141	暂无注释
ACTIONFAIL.GIVE.CARNIVALGAME_ALREADY_PLAYING	已有戏在进行。	142	暂无注释
ACTIONFAIL.GIVE.SPIDERNOHAT	吾囊不能并纳	143	暂无注释
ACTIONFAIL.GIVE.TERRARIUM_REFUSE	试以他物……	144	暂无注释
ACTIONFAIL.GIVE.TERRARIUM_COOLDOWN	木未重生，不宜相与。	145	暂无注释
ACTIONFAIL.GIVE.NOTAMONKEY	吾或知其意。	146	暂无注释
ACTIONFAIL.GIVE.QUEENBUSY	后正繁忙。	147	暂无注释
ACTIONFAIL.GIVETOPLAYER.FULL	汝囊已满。	151	给玩家一个东西 -但是背包满了
ACTIONFAIL.GIVETOPLAYER.DEAD	吾先留着。	152	给死亡的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.SLEEPING	日上三竿，且醒矣。	153	给睡觉的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.BUSY	有物与汝。	154	给忙碌的玩家一个东西
ACTIONFAIL.GIVEALLTOPLAYER.FULL	汝囊已满。	158	给人一组东西 但是背包满了
ACTIONFAIL.GIVEALLTOPLAYER.DEAD	吾先留着。	159	给于死去的玩家一组物品
ACTIONFAIL.GIVEALLTOPLAYER.SLEEPING	日上三竿，且醒矣。	160	给于正在睡觉的玩家一组物品
ACTIONFAIL.GIVEALLTOPLAYER.BUSY	有物与汝。	161	给于正在忙碌的玩家一组物品
ACTIONFAIL.WRITE.GENERIC	其状甚好。	165	鞋子失败
ACTIONFAIL.WRITE.INUSE	容吾一观。	166	写字 正在使用中
ACTIONFAIL.DRAW.NOIMAGE	吾不喜绘。	170	画图缺乏图像
ACTIONFAIL.CHANGEIN.GENERIC	此刻不欲更衣。	174	换装失败
ACTIONFAIL.CHANGEIN.BURNING	此刻凶险。	175	换装失败-着火了
ACTIONFAIL.CHANGEIN.INUSE	容吾也来妆扮。	176	衣橱有人占用
ACTIONFAIL.CHANGEIN.NOTENOUGHHAIR	皮毛不足以为饰。	177	暂无注释
ACTIONFAIL.CHANGEIN.NOOCCUPANT	需栓些东西。	178	暂无注释
ACTIONFAIL.ATTUNE.NOHEALTH	或当先疗己伤。	182	制造肉雕像血量不足
ACTIONFAIL.MOUNT.TARGETINCOMBAT	吾当远之。	186	骑乘，牛正在战斗
ACTIONFAIL.MOUNT.INUSE	已有人先登。	187	骑乘（牛被占据）
ACTIONFAIL.MOUNT.SLEEPING	莫再眠。	188	暂无注释
ACTIONFAIL.SADDLE.TARGETINCOMBAT	吾当远之。	192	给战斗状态的牛上鞍
ACTIONFAIL.TEACH.KNOWN	吾已知晓。	196	学习已经知道的蓝图
ACTIONFAIL.TEACH.CANTLEARN	吾不明此图。	197	学习无法学习的蓝图
ACTIONFAIL.TEACH.WRONGWORLD	此图于此无益。	198	学习另外一个世界的地图
ACTIONFAIL.TEACH.MESSAGEBOTTLEMANAGER_NOT_FOUND	光暗，不见一物。	199	Likely trying to read messagebottle treasure map in caves  --暂无注释
ACTIONFAIL.TEACH.STASH_MAP_NOT_FOUND	彼辈定是忘绘了。	200	Likely trying to read stash map  in world without stash                    --暂无注释
ACTIONFAIL.WRAPBUNDLE.EMPTY	收拾行囊的好物。	204	打包纸是空的
ACTIONFAIL.PICKUP.RESTRICTION	不可用。	208	熔炉模式下捡起错误的武器
ACTIONFAIL.PICKUP.INUSE	当等轮到吾。	209	捡起已经打开的容器
ACTIONFAIL.PICKUP.NOTMINE_YOTC[0]	吾之萝卜鼠何在。	213	暂无注释
ACTIONFAIL.PICKUP.NOTMINE_YOTC[1]	顽劣之辈。	214	暂无注释
ACTIONFAIL.PICKUP.FULL_OF_CURSES	吾不碰。	217	暂无注释
ACTIONFAIL.SLAUGHTER.TOOFAR	其已遁。	221	屠杀？？ 因为太远而失败
ACTIONFAIL.REPLATE.MISMATCH	其需另碟。	225	暴食-换盘子换错了 比如用碗换碟子
ACTIONFAIL.REPLATE.SAMEDISH	只需一碟。	226	暴食-换盘子已经换了
ACTIONFAIL.SAIL.REPAIR	其不需修理。	230	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING0	过急。	234	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING1	时机不当。	235	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING2	莫再犯。	236	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[0]	啊呀。	240	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[1]	实难慢下。	241	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[2]	此竟亦败。	242	暂无注释
ACTIONFAIL.BATHBOMB.GLASSED	不可，表面已化琉璃。	246	暂无注释
ACTIONFAIL.BATHBOMB.ALREADY_BOMBED	莫浪费浴球。	247	暂无注释
ACTIONFAIL.GIVE_TACKLESKETCH.DUPLICATE	非也，非也。	251	暂无注释
ACTIONFAIL.COMPARE_WEIGHABLE.FISH_TOO_SMALL	其过小。	255	暂无注释
ACTIONFAIL.COMPARE_WEIGHABLE.OVERSIZEDVEGGIES_TOO_SMALL	犹未足重。	256	暂无注释
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.GENERIC	无所可学。	274	暂无注释
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.FERTILIZER	吾不欲知过细。	275	暂无注释
ACTIONFAIL.FILL_OCEAN.UNSUITABLE_FOR_PLANTS	似不喜咸水。	279	暂无注释
ACTIONFAIL.POUR_WATER.OUT_OF_WATER	糟矣，无水。	283	暂无注释
ACTIONFAIL.POUR_WATER_GROUNDTILE.OUT_OF_WATER	吾之浇壶已干。	287	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_INVALID_TARGET	吾必不可为。	291	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_ALREADY_USED	此牛已属他人。	292	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_HAS_BEEF_ALREADY	吾无需全群。	293	暂无注释
ACTIONFAIL.HITCHUP.NEEDBEEF	有铃可近坐骑。	297	暂无注释
ACTIONFAIL.HITCHUP.NEEDBEEF_CLOSER	吾之坐骑过远。	298	暂无注释
ACTIONFAIL.HITCHUP.BEEF_HITCHED	吾之坐骑已拴。	299	暂无注释
ACTIONFAIL.HITCHUP.INMOOD	吾之坐骑似过好动。	300	暂无注释
ACTIONFAIL.MARK.ALREADY_MARKED	吾已选定。	304	暂无注释
ACTIONFAIL.MARK.NOT_PARTICIPANT	吾无选手。	305	暂无注释
ACTIONFAIL.YOTB_STARTCONTEST.DOESNTWORK	此地非吾用武之地。	309	暂无注释
ACTIONFAIL.YOTB_STARTCONTEST.ALREADYACTIVE	其或忙于他赛。	310	暂无注释
ACTIONFAIL.YOTB_UNLOCKSKIN.ALREADYKNOWN	此吾已会。	314	暂无注释
ACTIONFAIL.CARNIVALGAME_FEED.TOO_LATE	吾需速。	318	暂无注释
ACTIONFAIL.HERD_FOLLOWERS.WEBBERONLY	虽其不听吾，但或听他人。	322	暂无注释
ACTIONFAIL.HARVEST.DOER_ISNT_MODULE_OWNER	其似无兴趣。	371	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_INGREDIENTS	吾似缺重要之物。	384	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_TECH	吾似不能驭之。	385	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_STATION	此刻不能制。	386	暂无注释
ACTIONFAIL_GENERIC	吾不能为。	388	动作失败
ANNOUNCE_BOAT_LEAK	水愈多。	389	暂无注释
ANNOUNCE_BOAT_SINK	吾虽不溺。	390	暂无注释
ANNOUNCE_DIG_DISEASE_WARNING	其已愈。	391	removed  --挖起生病的植物
ANNOUNCE_PICK_DISEASE_WARNING	嗯，本是此味乎？	392	removed  --（植物生病）
ANNOUNCE_ADVENTUREFAIL	吾必再试。	393	没调用（废案）
ANNOUNCE_MOUNT_LOWHEALTH	此牛受伤。	394	牛血量过低
ANNOUNCE_BEES	蜂。	413	戴养蜂帽被蜜蜂蛰
ANNOUNCE_BOOMERANG	啊。当力接之。	414	回旋镖
ANNOUNCE_CHARLIE	速出，吾不惧汝。	415	查理即将攻击
ANNOUNCE_CHARLIE_ATTACK	想击吾，无此易。	416	被查理攻击
ANNOUNCE_COLD	甚寒。	418	过冷
ANNOUNCE_HOT	何处可凉？	419	过热
ANNOUNCE_CRAFTING_FAIL	缺些东西。	420	没调用
ANNOUNCE_DEERCLOPS	妖兽暴动。	421	boss来袭
ANNOUNCE_CAVEIN	土地何故？	422	要地震了？？？
ANNOUNCE_ANTLION_SINKHOLE[0]	地在动。	425	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[1]	地动。	426	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[2]	或当去降服此獠。	427	蚁狮地震
ANNOUNCE_ANTLION_TRIBUTE[0]	与汝，与汝。	431	向蚁狮致敬
ANNOUNCE_ANTLION_TRIBUTE[1]	食之，食之。	432	给蚁狮上供
ANNOUNCE_ANTLION_TRIBUTE[2]	食之，食之..	433	给蚁狮上供
ANNOUNCE_SACREDCHEST_YES	甚善。	435	远古宝箱物品正确给出蓝图
ANNOUNCE_SACREDCHEST_NO	其不喜。	436	远古宝箱
ANNOUNCE_DUSK	天染橙红。	437	进入黄昏
ANNOUNCE_EAT.GENERIC	美甚。	442	吃东西
ANNOUNCE_EAT.PAINFUL	味不佳。	443	吃怪物肉
ANNOUNCE_EAT.SPOILED	难食。	444	吃腐烂食物
ANNOUNCE_EAT.STALE	吾欲食新。	445	吃黄色食物
ANNOUNCE_EAT.INVALID	此不吾宜。	446	拒吃
ANNOUNCE_EAT.YUCKY	吾不欲食此。	447	吃红色食物
ANNOUNCE_ENCUMBERED[0]	气喘吁吁...	462	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[1]	过费力...	463	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[2]	此对吾不为难....	464	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[3]	吾扛起...整个天...	465	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[4]	此对吾或过重。	466	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[5]	日复日，年复年。	467	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[6]	哼...。	468	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[7]	气喘...吁吁...	469	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[8]	法力无穷。	470	搬运雕像、可疑的大理石
ANNOUNCE_ATRIUM_DESTABILIZING[0]	吾当去。	474	中庭击杀boss后即将刷新
ANNOUNCE_ATRIUM_DESTABILIZING[1]	彼乃何物？ 	475	中庭震动
ANNOUNCE_ATRIUM_DESTABILIZING[2]	此地不安。	476	中庭击杀boss后即将刷新
ANNOUNCE_RUINS_RESET	彼怪又回。	478	地下重置
ANNOUNCE_SNARED	尖锐之骨。	479	远古嘤嘤怪的骨笼
ANNOUNCE_SNARED_IVY	反击。	480	暂无注释
ANNOUNCE_REPELLED	其有护。	481	嘤嘤怪保护状态
ANNOUNCE_ENTER_DARK	伸手不见指。	482	进入黑暗
ANNOUNCE_ENTER_LIGHT	吾又可见物。	483	进入光源
ANNOUNCE_FREEDOM	吾自由。吾终自由。	484	没调用（废案）
ANNOUNCE_HIGHRESEARCH	吾本聪慧	485	没调用（废案）
ANNOUNCE_HOUNDS	闻否？	486	猎犬将至
ANNOUNCE_WORMS	感否？	487	蠕虫袭击
ANNOUNCE_HUNGRY	吾饥。	488	饥饿
ANNOUNCE_HUNT_BEAST_NEARBY	吾感近处有大家伙。	489	即将找到野兽
ANNOUNCE_HUNT_LOST_TRAIL	迹至此而绝。	490	猎物（大象脚印丢失）
ANNOUNCE_HUNT_LOST_TRAIL_SPRING	此湿土不存足迹。	491	大猎物丢失踪迹
ANNOUNCE_HUNT_START_FORK	此迹似有险。	492	暂无注释
ANNOUNCE_HUNT_SUCCESSFUL_FORK	吾不畏彼辈。	493	暂无注释
ANNOUNCE_HUNT_WRONG_FORK	有物觊觎吾。	494	暂无注释
ANNOUNCE_HUNT_AVOID_FORK	此迹似安些。	495	暂无注释
ANNOUNCE_INV_FULL	已满。	496	身上的物品满了
ANNOUNCE_KNOCKEDOUT	怪，吾何昏沉。	497	被催眠
ANNOUNCE_LOWRESEARCH	吾未从彼学得。	498	没调用（废案）
ANNOUNCE_MOSQUITOS	啊。去。	499	没调用
ANNOUNCE_NOWARDROBEONFIRE	此与吾无关。	500	橱柜着火
ANNOUNCE_NODANGERGIFT	有物在四围。	501	周围有危险的情况下打开礼物
ANNOUNCE_NOMOUNTEDGIFT	当先从其背下。	502	骑牛的时候打开礼物
ANNOUNCE_NODANGERSLEEP	吾感周遭或存某种险。	503	危险，不能睡觉
ANNOUNCE_NODAYSLEEP	光过亮。	504	白天睡帐篷
ANNOUNCE_NODAYSLEEP_CAVE	吾不倦。	505	洞穴里白天睡帐篷
ANNOUNCE_NOHUNGERSLEEP	甚欲食大餐。	506	饿了无法睡觉
ANNOUNCE_NOSLEEPONFIRE	吾之帐着火，奈何？	507	营帐着火无法睡觉
ANNOUNCE_NODANGERSIESTA	此刻过险。	509	危险，不能午睡
ANNOUNCE_NONIGHTSIESTA	夜当眠，而非午休。	510	夜晚睡凉棚
ANNOUNCE_NONIGHTSIESTA_CAVE	此非吾眠处。	511	在洞穴里夜晚睡凉棚
ANNOUNCE_NOHUNGERSIESTA	吾过饥，不能午休。	512	饱度不足无法午睡
ANNOUNCE_NO_TRAP	甚易。	513	没有陷阱？？？没调用
ANNOUNCE_PECKED	啊。止。	514	被小高鸟啄
ANNOUNCE_QUAKE	闻之不妙。	515	地震
ANNOUNCE_RESEARCH	犹当勤修。	516	没调用
ANNOUNCE_SHELTER	大树，谢汝为吾蔽风雨。	517	下雨天躲树下
ANNOUNCE_THORNS	啊。	518	玫瑰、仙人掌、荆棘扎手
ANNOUNCE_BURNT	呀。好烫。	519	烧完了
ANNOUNCE_TORCH_OUT	火灭。	520	火把用完了
ANNOUNCE_THURIBLE_OUT	其耗已尽。	521	香炉燃尽
ANNOUNCE_FAN_OUT	吾之小玩意儿坏。	522	小风车停了
ANNOUNCE_COMPASS_OUT	此罗盘不能。	523	指南针用完了
ANNOUNCE_TRAP_WENT_OFF	哎呀。	524	触发陷阱（例如冬季陷阱）
ANNOUNCE_UNIMPLEMENTED	啊。此应未备。	525	没调用
ANNOUNCE_WORMHOLE	容吾进内探查。	526	跳虫洞
ANNOUNCE_TOWNPORTALTELEPORT	吾不定。	527	豪华传送
ANNOUNCE_CANFIX	\n泥瓦之工吾亦能。	528	墙壁可以修理
ANNOUNCE_ACCOMPLISHMENT	吾感甚有成就。	529	没调用
ANNOUNCE_ACCOMPLISHMENT_DONE	若吾友此刻能见...	530	没调用
ANNOUNCE_INSUFFICIENTFERTILIZER	汝犹饥否？	531	土地肥力不足
ANNOUNCE_TOOL_SLIP	过滑。	532	工具滑出
ANNOUNCE_LIGHTNING_DAMAGE_AVOIDED	避过闪电。	533	规避闪电
ANNOUNCE_TOADESCAPING	蛤蟆精遁。	534	蟾蜍正在逃跑
ANNOUNCE_TOADESCAPED	癞蛤蟆遁。	535	蟾蜍逃走了
ANNOUNCE_DAMP	哦，水。	536	潮湿（1级）
ANNOUNCE_WET	吾不欲为水湿。	537	潮湿（2级）
ANNOUNCE_WETTER	漫漫水路。	538	潮湿（3级）
ANNOUNCE_SOAKED	吾湿透。	539	潮湿（4级）
ANNOUNCE_WASHED_ASHORE	弄湿。	540	暂无注释
ANNOUNCE_DESPAWN	吾可见光。	541	下线
ANNOUNCE_BECOMEGHOST	嗷嗷嗷嗷嗷。。	542	变成鬼魂
ANNOUNCE_GHOSTDRAIN	有欲害吾。	543	队友死亡掉san
ANNOUNCE_PETRIFED_TREES	吾闻树在尖叫？	544	石化树
ANNOUNCE_KLAUS_ENRAGE	此刻无法胜之。	545	克劳斯被激怒（杀死了鹿）
ANNOUNCE_KLAUS_UNCHAINED	其锁松开。	546	克劳斯-未上锁的  猜测是死亡准备变身？
ANNOUNCE_KLAUS_CALLFORHELP	其在求救。	547	克劳斯召唤小偷
ANNOUNCE_MOONALTAR_MINE.GLASS_MED	内有物。	550	暂无注释
ANNOUNCE_MOONALTAR_MINE.GLASS_LOW	将挖出。	551	暂无注释
ANNOUNCE_MOONALTAR_MINE.GLASS_REVEAL	汝自由。	552	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_MED	内有物。	553	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_LOW	将挖出。	554	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_REVEAL	汝自由。	555	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_MED	内有物。	556	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_LOW	将挖出。	557	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_REVEAL	汝自由。	558	暂无注释
ANNOUNCE_SPOOKED	汝见否？	560	被吓到
ANNOUNCE_BRAVERY_POTION	彼树不似可畏。	561	勇气药剂
ANNOUNCE_MOONPOTION_FAILED	或未浸足时……	562	暂无注释
ANNOUNCE_EATING_NOT_FEASTING	吾当与他人分享。	563	暂无注释
ANNOUNCE_WINTERS_FEAST_BUFF	满满节庆之灵。	564	暂无注释
ANNOUNCE_IS_FEASTING	冬之盛筵乐。	565	暂无注释
ANNOUNCE_WINTERS_FEAST_BUFF_OVER	节过真速……	566	暂无注释
ANNOUNCE_REVIVING_CORPSE	容吾助汝。	567	没调用（熔炉）
ANNOUNCE_REVIVED_OTHER_CORPSE	焕然新。	568	没调用（熔炉）
ANNOUNCE_REVIVED_FROM_CORPSE	好甚。	569	没调用（熔炉）
ANNOUNCE_FLARE_SEEN	何人发信号？	570	暂无注释
ANNOUNCE_MEGA_FLARE_SEEN	彼闪光将惹麻烦。	571	暂无注释
ANNOUNCE_OCEAN_SILHOUETTE_INCOMING	不善。	572	暂无注释
ANNOUNCE_ROYALTY[0]	友。	630	向带着蜂王帽的队友鞠躬
ANNOUNCE_ROYALTY[1]	伴。	631	向带着蜂王帽的队友鞠躬
ANNOUNCE_ROYALTY[2]	吾友。	632	向带着蜂王帽的队友鞠躬
ANNOUNCE_ATTACH_BUFF_ELECTRICATTACK	吾身披电。	634	暂无注释
ANNOUNCE_ATTACH_BUFF_ATTACK	动手打。	635	暂无注释
ANNOUNCE_ATTACH_BUFF_PLAYERABSORPTION	吾感安多。	636	暂无注释
ANNOUNCE_ATTACH_BUFF_WORKEFFECTIVENESS	仙力提。	637	暂无注释
ANNOUNCE_ATTACH_BUFF_MOISTUREIMMUNITY	干过潦。	638	暂无注释
ANNOUNCE_ATTACH_BUFF_SLEEPRESISTANCE	顿感神清气爽。	639	暂无注释
ANNOUNCE_DETACH_BUFF_ELECTRICATTACK	无雷电之功。	640	暂无注释
ANNOUNCE_DETACH_BUFF_ATTACK	筋肉实感失。	641	暂无注释
ANNOUNCE_DETACH_BUFF_PLAYERABSORPTION	是还好。	642	暂无注释
ANNOUNCE_DETACH_BUFF_WORKEFFECTIVENESS	明日复明日...	643	暂无注释
ANNOUNCE_DETACH_BUFF_MOISTUREIMMUNITY	生命之源。	644	暂无注释
ANNOUNCE_DETACH_BUFF_SLEEPRESISTANCE	吾……（哈欠）再不倦……	645	暂无注释
ANNOUNCE_OCEANFISHING_LINESNAP	遁何吾不真食汝。	646	暂无注释
ANNOUNCE_OCEANFISHING_LINETOOLOOSE	收线或有效。	647	暂无注释
ANNOUNCE_OCEANFISHING_GOTAWAY	此鱼可成大事。	648	暂无注释
ANNOUNCE_OCEANFISHING_BADCAST	甩竿有待提……	649	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[0]	鱼乎？	652	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[1]	或当换鱼多处钓。	653	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[2]	吾以为海中处处是鱼。	654	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[3]	吾此刻明明可做更有趣之事……	655	暂无注释
ANNOUNCE_WEIGHT	重：{weight}	657	暂无注释
ANNOUNCE_WEIGHT_HEAVY	重: {weight}\n吾乃重量级钓者。	658	暂无注释
ANNOUNCE_WINCH_CLAW_MISS	似未对准。	659	暂无注释
ANNOUNCE_WINCH_CLAW_NO_ITEM	得。两手空空。	660	暂无注释
ANNOUNCE_WEAK_RAT	此胡萝卜鼠不在训态。	687	暂无注释
ANNOUNCE_CARRAT_START_RACE	实验——，赛始。	688	暂无注释
ANNOUNCE_CARRAT_ERROR_WRONG_WAY[0]	不，不。向错。	691	暂无注释
ANNOUNCE_CARRAT_ERROR_WRONG_WAY[1]	掉头，汝何眼神。	692	暂无注释
ANNOUNCE_CARRAT_ERROR_FELL_ASLEEP	敢给吾眠。起，吾要赢赛。	694	暂无注释
ANNOUNCE_CARRAT_ERROR_WALKING	莫用走，跑。	695	暂无注释
ANNOUNCE_CARRAT_ERROR_STUNNED	站起。冲，冲。	696	暂无注释
ANNOUNCE_POCKETWATCH_PORTAL	无人告吾缩地成寸之后会何……	725	暂无注释
ANNOUNCE_ARCHIVE_NEW_KNOWLEDGE	吾学得些。	730	暂无注释
