[00:01:31]: [Myth-Viet-Scanner] ===== BẮT ĐẦU SCAN =====	
[00:01:32]: [Myth-Viet-Scanner] ----- CHINESE (6281) -----	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINISIGN.UNDRAWN = 妾身应该在那上面画些东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.YOTC_CARRAT_GYM_STAMINA_ITEM = 这个会改善胡萝卜鼠的耐力	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WOODIE.FIRESTARTER = %s，别把自己烧了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTP_FOOD3 = 没什么精致的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_TALK_TO_PLANTS.5 = 倾诉我的心声。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.MARK.ALREADY_MARKED = 妾身已经选好了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MYTH_YAMA_STATUE1 = 我来给你填点蛛丝	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_DETACH_BUFF_ATTACK = 妾身不喜欢打架。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.BATTLECRY.PREY = 弹指可灭！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_HOUNDS = 你们这群畜生倒是大胆。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CONDENSED_PILL = 屏气凝神，致命一击	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WES.GHOST = 你要什么？大声说出来。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MEAT_DRIED = 妾身还是喜欢新鲜。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MINISIGN_ITEM = 像这样没有太多用处。我们应该把它放下。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MAST_ITEM = 现在妾身能造出桅杆了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.LOTUS_FLOWER_COOKED = 绵香暖糯	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.YOTC_CARRATSHRINE.GENERIC = 做什么呢……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.WARLY.GENERIC = 你好，%s！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MALBATROSS_BEAK = 闻起来有鱼腥味。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.YOTC_CARRATSHRINE.EMPTY = 嗯……胡萝卜鼠喜欢吃什么呢？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MUTATOR_WARRIOR = 哦，哇，这看起来嗯……很好吃，韦伯!	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.INSANITYROCK.ACTIVE = 这是活的？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.NIGHTSWORD = 为什么会有人做这个？太可怕了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.SEEDS_COOKED = 生命精华都被烤出来了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MADAMEWEB_SPIDER_WARRIOR = 我更喜欢你们，化为白骨	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PIGMAN.WEREPIG = 来试试本座的蛛网吧！！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CHESTER = 一只小短腿的...箱子，先生。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.COLDFIREPIT.EMBERS = 在火熄灭之前我得加点燃料。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.COMBAT_QUIT.SPIDER_WARRIOR = 这个讨厌的家伙！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.XZHAT_MK = 哼，且报窃衣之仇。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.BELL_COMMISSIONER = 摄魂取魄！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.BLACKBEAR = 不如我们做个交易吧~袈裟归你唐僧归我~	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.MADAMEWEB_BEE = 好生毒辣	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WORMWOOD.ATTACKER = %s今天似乎比平时更多刺。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_FOOD_FHY = 人间种种，都喜宴席	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.FISH_OCEAN.TOODEEP = 钓大鱼需要放长线。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MONKEY_KING.DESCRIBE.MYTH_FOOD_LXQ = 俺老孙还是更喜欢果子	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_IRON_BATTLEGEAR = 朔气传金柝，寒光照铁衣	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PIGELITEFIGHTER1 = 看什么看？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TURF_CAVE = 又一种地皮类型。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.PORTABLECOOKPOT_ITEM.EMPTY = 我打赌里面什么都没有。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BATWING_COOKED = 至少它不会再活过来了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.VICTORIAN_BLUEPRINT = 妾身可没见过衣服。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ARMORWOOD = 那是一件非常合适的衣服。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_INV_FULL = 妾身拿不了更多的东西了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.COMPOSTWRAP = 妾身可不需要这个。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ONION_SEEDS = 一把古怪的种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.DIVININGRODSTART = 那根手杖看起来很有用！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.STUFFING = 都是好料！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.YOTC_CARRAT_RACE_FINISH_ITEM = 大限将至。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WINTER_FOOD4 = 那个可能有点儿不道德。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.STORE.NOTMASTERCHEF = 烹饪水平还不够。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WANDA.GHOST = 你为什么不去试试时间倒流。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FARM_PLOW_ITEM = 妾身得先找个好的种地的园子才能使用它。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WOLFGANG.ATTACKER = 不要妄图冒犯本尊...	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.TOKEN_COMMISSIONER = 阴气森森，是非之物	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MONKEY_KING.DESCRIBE.MYTH_SIVING_BOSS = 呆鸟，让俺老孙看看你叼的是什么	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.SADDLE_QINGNIU = 这定是控制那蛮牛的法宝	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.STATUE_MARBLE.TYPE1 = 不要失去理智！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CANARY_POISONED = 它可能是好的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ARROWSIGN_POST.GENERIC = 它说“那个方向”。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSLOG = 它需要滋养的肥料。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ICE_BLUEPRINT = 我喜欢新鲜的皮弗娄牛，不是冷冻的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PEPPER_SEEDS = 一把种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MYTH_WELL = 妾身来加点东西？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CHESSPIECE_MOOSEGOOSE.1 = 呃。这太逼真了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.KLAUS = 那究竟是什么东西！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ABIGAIL_FLOWER.LEVEL1 = 你想一个人待着吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HEATROCK.FROZEN = 它比冰还冷。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TRINKET_6 = 它们输送电力的日子结束了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.KOALEFANT_SUMMER = 吃起来一定很美味。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.OCEANFISHINGBOBBER_BALL = 鱼群会喜欢这个球的。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BATHBOMB = 给妾身放些花瓣就好。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.GARGOYLE_HOUND = 我不喜欢它看我的眼神。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.LAOZI_QINGNIU = 青牛君安好，可要庇护小妹	
