path	original	line	comment
ACTIONFAIL.WRAPBUNDLE.EMPTY	此封灵纸空无一物。	204	打包纸是空的
ACTIONFAIL.PICKUP.RESTRICTION	此兵刃非熔炉所纳。	208	熔炉模式下捡起错误的武器
ACTIONFAIL.PICKUP.INUSE	此器已启，不可妄动。	209	捡起已经打开的容器
ACTIONFAIL.PICKUP.NOTMINE_YOTC[0]	此灵鼠非韩某所饲。	213	暂无注释
ACTIONFAIL.PICKUP.NOTMINE_YOTC[1]	此兽竟伤韩某！	214	暂无注释
ACTIONFAIL.PICKUP.FULL_OF_CURSES	凶煞之物，避之为上。	217	暂无注释
ACTIONFAIL.SLAUGHTER.TOOFAR	遁速不及，难以追击。	221	屠杀？？ 因为太远而失败
ACTIONFAIL.REPLATE.MISMATCH	此乃碗盏，非盛肴之器。	225	暴食-换盘子换错了 比如用碗换碟子
ACTIONFAIL.REPLATE.SAMEDISH	不贪多求全，一器够用。	226	暴食-换盘子已经换了
ACTIONFAIL.SAIL.REPAIR	法器无缺，不必费工。	230	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING0	操之过急。	234	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING1	天时未至。	235	暂无注释
ACTIONFAIL.ROW_FAIL.BAD_TIMING2	当静心再试。	236	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[0]	嘶——！	240	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[1]	遁速难抑！	241	暂无注释
ACTIONFAIL.LOWER_SAIL_FAIL[2]	竟有此失！	242	暂无注释
ACTIONFAIL.BATHBOMB.GLASSED	器表琉璃化，不可强为。	246	暂无注释
ACTIONFAIL.BATHBOMB.ALREADY_BOMBED	灵浴之物，不可轻耗。	247	暂无注释
ACTIONFAIL.GIVE_TACKLESKETCH.DUPLICATE	此非正解。	251	暂无注释
ACTIONFAIL.COMPARE_WEIGHABLE.FISH_TOO_SMALL	此物形微，不堪大用。	255	暂无注释
ACTIONFAIL.COMPARE_WEIGHABLE.OVERSIZEDVEGGIES_TOO_SMALL	分量尚轻。	256	暂无注释
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.GENERIC	已无新物可学。	274	暂无注释
ACTIONFAIL.PLANTREGISTRY_RESEARCH_FAIL.FERTILIZER	韩某不欲深究细枝末节。	275	暂无注释
ACTIONFAIL.FILL_OCEAN.UNSUITABLE_FOR_PLANTS	此物不喜咸水。	279	暂无注释
ACTIONFAIL.POUR_WATER.OUT_OF_WATER	水源已竭。	283	暂无注释
ACTIONFAIL.POUR_WATER_GROUNDTILE.OUT_OF_WATER	水壶已空。	287	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_INVALID_TARGET	此术不可施于此物。	291	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_ALREADY_USED	此兽已认主。	292	暂无注释
ACTIONFAIL.USEITEMON.BEEF_BELL_HAS_BEEF_ALREADY	一兽足矣。	293	暂无注释
ACTIONFAIL.HITCHUP.NEEDBEEF	需以铃驭兽。	297	暂无注释
ACTIONFAIL.HITCHUP.NEEDBEEF_CLOSER	坐骑过远。	298	暂无注释
ACTIONFAIL.HITCHUP.BEEF_HITCHED	坐骑已系。	299	暂无注释
ACTIONFAIL.HITCHUP.INMOOD	此兽躁动难驯。	300	暂无注释
ACTIONFAIL.MARK.ALREADY_MARKED	已做标记。	304	暂无注释
ACTIONFAIL.MARK.NOT_PARTICIPANT	非参赛之人。	305	暂无注释
ACTIONFAIL.YOTB_STARTCONTEST.DOESNTWORK	此地不宜比试。	309	暂无注释
ACTIONFAIL.YOTB_STARTCONTEST.ALREADYACTIVE	赛事正酣。	310	暂无注释
ACTIONFAIL.YOTB_UNLOCKSKIN.ALREADYKNOWN	此技已谙！	314	暂无注释
ACTIONFAIL.CARNIVALGAME_FEED.TOO_LATE	时机已过。	318	暂无注释
ACTIONFAIL.HERD_FOLLOWERS.WEBBERONLY	此兽只听特定之人。	322	暂无注释
ACTIONFAIL.HARVEST.DOER_ISNT_MODULE_OWNER	机缘未至，强求无益。	371	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_INGREDIENTS	韩某尚缺几样关键材料。	384	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_TECH	当前境界难以施展。	385	暂无注释
ANNOUNCE_CANNOT_BUILD.NO_STATION	韩某现下难以炼制。	386	暂无注释
ACTIONFAIL_GENERIC	韩某力有不逮。	388	动作失败
ANNOUNCE_BOAT_LEAK	水势渐涨。	389	暂无注释
ANNOUNCE_BOAT_SINK	韩某虽通水性，然此舟将沉，需速离。	390	暂无注释
ANNOUNCE_DIG_DISEASE_WARNING	观其形貌，恢复七八。	391	removed  --挖起生病的植物
ANNOUNCE_PICK_DISEASE_WARNING	此味...本是如此？	392	removed  --（植物生病）
ANNOUNCE_ADVENTUREFAIL	机缘未绝，当再尝试。	393	没调用（废案）
ANNOUNCE_MOUNT_LOWHEALTH	观其气息，伤势不轻。	394	牛血量过低
ANNOUNCE_BEES	蜜蜂！	413	戴养蜂帽被蜜蜂蛰
ANNOUNCE_BOOMERANG	法器轨迹已明，当收。	414	回旋镖
ANNOUNCE_CHARLIE	似有邪祟窥视。	415	查理即将攻击
ANNOUNCE_CHARLIE_ATTACK	暗处邪物袭我！	416	被查理攻击
ANNOUNCE_COLD	寒气侵体！	418	过冷
ANNOUNCE_HOT	三昧真火灼身！	419	过热
ANNOUNCE_CRAFTING_FAIL	材料不齐。	420	没调用
ANNOUNCE_DEERCLOPS	此妖气息惊人！	421	boss来袭
ANNOUNCE_CAVEIN	地动山摇！	422	要地震了？？？
ANNOUNCE_ANTLION_SINKHOLE[0]	地脉震动！	425	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[1]	坤仪不稳！	426	蚁狮地震
ANNOUNCE_ANTLION_SINKHOLE[2]	有地妖作祟！	427	蚁狮地震
ANNOUNCE_ANTLION_TRIBUTE[0]	请笑纳。	431	向蚁狮致敬
ANNOUNCE_ANTLION_TRIBUTE[1]	区区薄礼。	432	给蚁狮上供
ANNOUNCE_ANTLION_TRIBUTE[2]	聊表心意。	433	给蚁狮上供
ANNOUNCE_SACREDCHEST_YES	机缘已得。	435	远古宝箱物品正确给出蓝图
ANNOUNCE_SACREDCHEST_NO	此物非其所求。	436	远古宝箱
ANNOUNCE_DUSK	暮色将至。	437	进入黄昏
ANNOUNCE_EAT.GENERIC	滋味尚可！	442	吃东西
ANNOUNCE_EAT.PAINFUL	此物有毒！	443	吃怪物肉
ANNOUNCE_EAT.SPOILED	腐坏难咽。	444	吃腐烂食物
ANNOUNCE_EAT.STALE	鲜度不足。	445	吃黄色食物
ANNOUNCE_EAT.INVALID	非可食之物。	446	拒吃
ANNOUNCE_EAT.YUCKY	秽物拒食。	447	吃红色食物
ANNOUNCE_ENCUMBERED[0]	真元耗损...	462	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[1]	力有不支...	463	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[2]	需调息片刻...	464	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[3]	重若千钧...	465	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[4]	地脉之力...助我...	466	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[5]	此物竟重逾法宝...	467	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[6]	唔...！	468	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[7]	气息紊乱...	469	搬运雕像、可疑的大理石
ANNOUNCE_ENCUMBERED[8]	恍若负山而行...	470	搬运雕像、可疑的大理石
ANNOUNCE_ATRIUM_DESTABILIZING[0]	空间将崩，速离！	474	中庭击杀boss后即将刷新
ANNOUNCE_ATRIUM_DESTABILIZING[1]	不好，禁制松动了！	475	中庭震动
ANNOUNCE_ATRIUM_DESTABILIZING[2]	此地不宜久留。	476	中庭击杀boss后即将刷新
ANNOUNCE_RUINS_RESET	妖魔尽数复苏！	478	地下重置
ANNOUNCE_SNARED	骨牢困身。	479	远古嘤嘤怪的骨笼
ANNOUNCE_SNARED_IVY	破！	480	暂无注释
ANNOUNCE_REPELLED	护体灵光未散。	481	嘤嘤怪保护状态
ANNOUNCE_ENTER_DARK	伸手不见五指！	482	进入黑暗
ANNOUNCE_ENTER_LIGHT	重见光明。	483	进入光源
ANNOUNCE_FREEDOM	目障已除，视野复明。	484	没调用（废案）
ANNOUNCE_HIGHRESEARCH	桎梏尽去，终得自在。	485	没调用（废案）
ANNOUNCE_HOUNDS	有妖气逼近。	486	猎犬将至
ANNOUNCE_WORMS	地脉异动。	487	蠕虫袭击
ANNOUNCE_HUNGRY	腹中空空。	488	饥饿
ANNOUNCE_HUNT_BEAST_NEARBY	猎物在望。	489	即将找到野兽
ANNOUNCE_HUNT_LOST_TRAIL	妖踪至此断绝。	490	猎物（大象脚印丢失）
ANNOUNCE_HUNT_LOST_TRAIL_SPRING	泥泞掩踪。	491	大猎物丢失踪迹
ANNOUNCE_HUNT_START_FORK	此径凶险。	492	暂无注释
ANNOUNCE_HUNT_SUCCESSFUL_FORK	区区野兽，不足为惧。	493	暂无注释
ANNOUNCE_HUNT_WRONG_FORK	有物窥伺在侧。	494	暂无注释
ANNOUNCE_HUNT_AVOID_FORK	此径较为安稳。	495	暂无注释
ANNOUNCE_INV_FULL	乾坤袋已满。	496	身上的物品满了
ANNOUNCE_KNOCKEDOUT	摄魂咒...	497	被催眠
ANNOUNCE_LOWRESEARCH	机缘未至，难有领悟。	498	没调用（废案）
ANNOUNCE_MOSQUITOS	速离韩某三丈之外！	499	没调用
ANNOUNCE_NOWARDROBEONFIRE	储物柜遭火噬。	500	橱柜着火
ANNOUNCE_NODANGERGIFT	险境未除，不宜启封	501	周围有危险的情况下打开礼物
ANNOUNCE_NOMOUNTEDGIFT	坐骑未稳，非受礼良机。	502	骑牛的时候打开礼物
ANNOUNCE_NODANGERSLEEP	险境未除，不宜入定。	503	危险，不能睡觉
ANNOUNCE_NODAYSLEEP	阳盛之时，不宜入眠。	504	白天睡帐篷
ANNOUNCE_NODAYSLEEP_CAVE	地穴昼寝，阴阳颠倒。	505	洞穴里白天睡帐篷
ANNOUNCE_NOHUNGERSLEEP	饥肠辘辘，难入定境。	506	饿了无法睡觉
ANNOUNCE_NOSLEEPONFIRE	寝帐走水，难觅安眠。	507	营帐着火无法睡觉
ANNOUNCE_NODANGERSIESTA	危机未解，不宜小憩。	509	危险，不能午睡
ANNOUNCE_NONIGHTSIESTA	夜宿凉亭，非修行之道。	510	夜晚睡凉棚
ANNOUNCE_NONIGHTSIESTA_CAVE	地穴阴寒，又宿凉棚，非养生之道。	511	在洞穴里夜晚睡凉棚
ANNOUNCE_NOHUNGERSIESTA	精气未充，不宜昼寝。	512	饱度不足无法午睡
ANNOUNCE_NO_TRAP	可放心前行。	513	没有陷阱？？？没调用
ANNOUNCE_PECKED	遭灵禽所啄。	514	被小高鸟啄
ANNOUNCE_QUAKE	山岳将倾，当避其锋。	515	地震
ANNOUNCE_RESEARCH	韩某当勤修不辍。	516	没调用
ANNOUNCE_SHELTER	此木茂盛，可避风雨。	517	下雨天躲树下
ANNOUNCE_THORNS	棘刺伤手。	518	玫瑰、仙人掌、荆棘扎手
ANNOUNCE_BURNT	灼热难当。	519	烧完了
ANNOUNCE_TORCH_OUT	火源已熄。	520	火把用完了
ANNOUNCE_THURIBLE_OUT	香烬烟消。	521	香炉燃尽
ANNOUNCE_FAN_OUT	御风法器失效。	522	小风车停了
ANNOUNCE_COMPASS_OUT	司南失灵。	523	指南针用完了
ANNOUNCE_TRAP_WENT_OFF	触动了机关。	524	触发陷阱（例如冬季陷阱）
ANNOUNCE_UNIMPLEMENTED	炼制未成，不可妄用。	525	没调用
ANNOUNCE_WORMHOLE	且入此洞一探。	526	跳虫洞
ANNOUNCE_TOWNPORTALTELEPORT	此术吉凶未卜。	527	豪华传送
ANNOUNCE_CANFIX	\n修缮之事，韩某亦可为之。	528	墙壁可以修理
ANNOUNCE_ACCOMPLISHMENT	此道略有小成。	529	没调用
ANNOUNCE_ACCOMPLISHMENT_DONE	若故人在侧，当可共证此境。	530	没调用
ANNOUNCE_INSUFFICIENTFERTILIZER	需以灵肥滋养。	531	土地肥力不足
ANNOUNCE_TOOL_SLIP	此物沾湿难持。	532	工具滑出
ANNOUNCE_LIGHTNING_DAMAGE_AVOIDED	雷劫已避。	533	规避闪电
ANNOUNCE_TOADESCAPING	蟾妖欲遁。	534	蟾蜍正在逃跑
ANNOUNCE_TOADESCAPED	蟾妖已逃。	535	蟾蜍逃走了
ANNOUNCE_DAMP	微湿。	536	潮湿（1级）
ANNOUNCE_WET	沾衣未湿。	537	潮湿（2级）
ANNOUNCE_WETTER	衣衫尽湿。	538	潮湿（3级）
ANNOUNCE_SOAKED	浑身透湿。	539	潮湿（4级）
ANNOUNCE_WASHED_ASHORE	水劫余生	540	暂无注释
ANNOUNCE_DESPAWN	元神归位。	541	下线
ANNOUNCE_BECOMEGHOST	魂魄离体...	542	变成鬼魂
ANNOUNCE_GHOSTDRAIN	阴气侵神...	543	队友死亡掉san
ANNOUNCE_PETRIFED_TREES	古树悲鸣？	544	石化树
ANNOUNCE_KLAUS_ENRAGE	此獠凶性大发！	545	克劳斯被激怒（杀死了鹿）
ANNOUNCE_KLAUS_UNCHAINED	封魔锁链断裂！	546	克劳斯-未上锁的  猜测是死亡准备变身？
ANNOUNCE_KLAUS_CALLFORHELP	它在召唤爪牙！	547	克劳斯召唤小偷
ANNOUNCE_MOONALTAR_MINE.GLASS_MED	隐见灵光。	550	暂无注释
ANNOUNCE_MOONALTAR_MINE.GLASS_LOW	宝物将现。	551	暂无注释
ANNOUNCE_MOONALTAR_MINE.GLASS_REVEAL	破封得宝！	552	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_MED	隐见灵光。	553	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_LOW	宝物将现。	554	暂无注释
ANNOUNCE_MOONALTAR_MINE.IDOL_REVEAL	破封得宝！	555	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_MED	隐见灵光。	556	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_LOW	宝物将现。	557	暂无注释
ANNOUNCE_MOONALTAR_MINE.SEED_REVEAL	破封得宝！	558	暂无注释
ANNOUNCE_SPOOKED	心神一震。	560	被吓到
ANNOUNCE_BRAVERY_POTION	服之可壮胆魄，定心神。	561	勇气药剂
ANNOUNCE_MOONPOTION_FAILED	需再温养些时日。	562	暂无注释
ANNOUNCE_EATING_NOT_FEASTING	此物当与同族共分。	563	暂无注释
ANNOUNCE_WINTERS_FEAST_BUFF	佳节同庆，其乐融融。	564	暂无注释
ANNOUNCE_IS_FEASTING	冬季盛宴快乐！	565	暂无注释
ANNOUNCE_WINTERS_FEAST_BUFF_OVER	节过的真快……	566	暂无注释
ANNOUNCE_REVIVING_CORPSE	容韩某助你一臂之力。	567	没调用（熔炉）
ANNOUNCE_REVIVED_OTHER_CORPSE	焕然一新！	568	没调用（熔炉）
ANNOUNCE_REVIVED_FROM_CORPSE	好多了。	569	没调用（熔炉）
ANNOUNCE_FLARE_SEEN	是谁发出的信号？	570	暂无注释
ANNOUNCE_MEGA_FLARE_SEEN	那个闪光会带来麻烦。	571	暂无注释
ANNOUNCE_OCEAN_SILHOUETTE_INCOMING	当心，妖魔现形！	572	暂无注释
ANNOUNCE_ROYALTY[0]	蜂群之主，当受一拜。	630	向带着蜂王帽的队友鞠躬
ANNOUNCE_ROYALTY[1]	此礼敬道友驭蜂之能。	631	向带着蜂王帽的队友鞠躬
ANNOUNCE_ROYALTY[2]	控蜂之术，令人叹服。	632	向带着蜂王帽的队友鞠躬
ANNOUNCE_ATTACH_BUFF_ELECTRICATTACK	九天神雷，加诸吾身。	634	暂无注释
ANNOUNCE_ATTACH_BUFF_ATTACK	出手！	635	暂无注释
ANNOUNCE_ATTACH_BUFF_PLAYERABSORPTION	如此布置，应当稳妥几分了……不过还是不能大意。	636	暂无注释
ANNOUNCE_ATTACH_BUFF_WORKEFFECTIVENESS	小有突破，仍需谨慎。	637	暂无注释
ANNOUNCE_ATTACH_BUFF_MOISTUREIMMUNITY	行事不够周密。	638	暂无注释
ANNOUNCE_ATTACH_BUFF_SLEEPRESISTANCE	灵台清明了几分...但不可松懈。	639	暂无注释
ANNOUNCE_DETACH_BUFF_ELECTRICATTACK	雷威已散...	640	暂无注释
ANNOUNCE_DETACH_BUFF_ATTACK	体魄衰退了...	641	暂无注释
ANNOUNCE_DETACH_BUFF_PLAYERABSORPTION	尚可。	642	暂无注释
ANNOUNCE_DETACH_BUFF_WORKEFFECTIVENESS	拖延无益...	643	暂无注释
ANNOUNCE_DETACH_BUFF_MOISTUREIMMUNITY	不惧，但需谨慎。	644	暂无注释
ANNOUNCE_DETACH_BUFF_SLEEPRESISTANCE	调息完毕...	645	暂无注释
ANNOUNCE_OCEANFISHING_LINESNAP	若道友肯好好说话，倒也不必遁走。	646	暂无注释
ANNOUNCE_OCEANFISHING_LINETOOLOOSE	姑且一试，不成便退。。	647	暂无注释
ANNOUNCE_OCEANFISHING_GOTAWAY	倒是枚不错的棋子...	648	暂无注释
ANNOUNCE_OCEANFISHING_BADCAST	需再练《玄钓心经》第三层	649	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[0]	鱼呢？	652	暂无注释
ANNOUNCE_OCEANFISHING_IDLE_QUOTE[1]	也许该换个鱼多的地方钓。	653	暂无注释
